year	countrycode	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2025	BE	1kmE3946N3135	359	Mammalia	5218786	Procyon lotor	3	7.0	86400	21001
2025	BE	1kmE3950N3122	359	Mammalia	5218786	Procyon lotor	1	50.0	86400	21001
2025	BE	1kmE3975N3112	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2025	NL	1kmE4089N3342	359	Mammalia	5218786	Procyon lotor	1	5000.0	86400	21001
2025	DE	1kmE4150N2888	359	Mammalia	5218786	Procyon lotor	1	25.0	86400	21001
2025	DE	1kmE4159N3215	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2025	DE	1kmE4226N3190	359	Mammalia	5218786	Procyon lotor	1	11.0	86400	21001
2025	DE	1kmE4231N3236	359	Mammalia	5218786	Procyon lotor	1	15.0	86400	21001
2025	DE	1kmE4308N3209	359	Mammalia	5218786	Procyon lotor	1	3758.0	60	21001
2025	DE	1kmE4310N3208	359	Mammalia	5218786	Procyon lotor	1	3758.0	60	21001
2025	DE	1kmE4311N3209	359	Mammalia	5218786	Procyon lotor	1	25.0	86400	21001
2025	DE	1kmE4311N3210	359	Mammalia	5218786	Procyon lotor	2	250.0	86400	21001
2025	DE	1kmE4311N3213	359	Mammalia	5218786	Procyon lotor	1	3758.0	60	21001
2025	DE	1kmE4330N3220	359	Mammalia	5218786	Procyon lotor	1	1.0	86400	21001
2025	DE	1kmE4369N3353	359	Mammalia	5218786	Procyon lotor	1	4.0	86400	21001
2025	DE	1kmE4375N3350	359	Mammalia	5218786	Procyon lotor	1	7.0	86400	21001
2025	DE	1kmE4555N3275	359	Mammalia	5218786	Procyon lotor	1	3.0	1	21001
2025	DE	1kmE4559N3267	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2025	DE	1kmE4580N3311	359	Mammalia	5218786	Procyon lotor	1	3.0	1	21001
2024	AZ		359	Mammalia	5218786	Procyon lotor	1	260.0	60	21001
2024	ES	1kmE3208N2048	359	Mammalia	5218786	Procyon lotor	1	1000.0	86400	21001
2024	ES	1kmE3210N2054	359	Mammalia	5218786	Procyon lotor	2	10.0	86400	21001
2024	GB	1kmE3441N3619	359	Mammalia	5218786	Procyon lotor	2	70.7	86400	21001
2024	GB	1kmE3441N3620	359	Mammalia	5218786	Procyon lotor	1	70.7	86400	21001
2024	GB	1kmE3542N3378	359	Mammalia	5218786	Procyon lotor	1	70.7	86400	21001
2024	ES	1kmE3673N1860	359	Mammalia	5218786	Procyon lotor	1	2.0	86400	21001
2024	FR	1kmE3746N2927	359	Mammalia	5218786	Procyon lotor	1	18294.0	60	21001
2024	FR	1kmE3757N2487	359	Mammalia	5218786	Procyon lotor	1	1032.0	1	21001
2024	FR	1kmE3758N2390	359	Mammalia	5218786	Procyon lotor	1	4353.0	1	21001
2024	FR	1kmE3806N2480	359	Mammalia	5218786	Procyon lotor	1	1000.0	60	21001
2024	FR	1kmE3872N2529	359	Mammalia	5218786	Procyon lotor	1	61.0	60	21001
2024	BE	1kmE3886N3118	359	Mammalia	5218786	Procyon lotor	1	30.0	86400	21001
2024	BE	1kmE3887N3105	359	Mammalia	5218786	Procyon lotor	1	5.0	86400	21001
2024	FR	1kmE3904N3018	359	Mammalia	5218786	Procyon lotor	1	5.0	1	21001
